﻿变量名,窗口约束,Radius,DTW距离,对齐路径长度,标准化DTW距离,相似度
中国:开工率:精对苯二甲酸,启用,1,9.1366,56,0.1632,高度相似
用电量:文教、工美、体育和娱乐用品制造业,启用,1,6.7592,15,0.4506,不相似
用电量:石油、煤炭及其他燃料加工业,启用,1,5.3791,15,0.3586,低相似
用电量:化学原料和化学制品制造业,启用,1,6.0686,15,0.4046,低相似
用电量:医药制造业,启用,1,4.9101,14,0.3507,低相似
用电量:化学纤维制造业,启用,1,5.2322,15,0.3488,低相似
用电量:橡胶和塑料制品业,启用,1,6.0123,15,0.4008,低相似
用电量:非金属矿物制品业,启用,1,5.9995,15,0.4,低相似
中国:江浙地区:开工率:涤纶长丝,启用,1,6.9277,56,0.1237,高度相似
中国:装置负荷率:涤纶短纤,启用,1,7.454,56,0.1331,高度相似
中国:产能利用率:水泥熟料,启用,1,9.9782,55,0.1814,高度相似
制造业PMI,启用,1,9.1348,56,0.1631,高度相似
用电量:专用设备制造业,启用,1,5.6788,15,0.3786,低相似
制造业PMI:生产,启用,1,9.5599,56,0.1707,高度相似
用电量:煤炭开采和洗选业,启用,1,4.4065,14,0.3147,中等相似
用电量:黑色金属矿采选业,启用,1,3.9509,15,0.2634,中等相似
用电量:非金属矿采选业,启用,1,4.2776,15,0.2852,中等相似
用电量:仪器仪表制造业,启用,1,5.9666,15,0.3978,低相似
用电量:农副食品加工业,启用,1,5.1452,15,0.343,中等相似
用电量:酒、饮料及精制茶制造业,启用,1,4.2314,14,0.3022,中等相似
用电量:造纸和纸制品业,启用,1,4.2584,14,0.3042,中等相似
用电量:印刷和记录媒介复制业,启用,1,4.6167,14,0.3298,中等相似
用电量:黑色金属冶炼和压延加工业,启用,1,4.7077,14,0.3363,中等相似
用电量:有色金属冶炼和压延加工业,启用,1,3.5962,14,0.2569,中等相似
用电量:全社会合计,启用,1,5.7948,15,0.3863,低相似
用电量:金属制品业,启用,1,4.839,15,0.3226,中等相似
用电量:通用设备制造业,启用,1,4.786,15,0.3191,中等相似
用电量:第三产业,启用,1,5.6527,15,0.3768,低相似
用电量:城乡居民生活用电合计,启用,1,5.7832,15,0.3855,低相似
用电量:汽车制造业,启用,1,4.563,14,0.3259,中等相似
用电量:铁路用电量:船舶用电量:航空航天和其他运输设备制造业,启用,1,5.2276,15,0.3485,中等相似
用电量:电气机械和器材制造业,启用,1,4.3028,14,0.3073,中等相似
用电量:计算机、通信和其他电子设备制造业,启用,1,4.6809,14,0.3343,中等相似
用电量:其他制造业,启用,1,5.1781,15,0.3452,中等相似
用电量:废弃资源综合利用业,启用,1,4.5027,14,0.3216,中等相似
用电量:金属制品、机械和设备修理业,启用,1,4.535,14,0.3239,中等相似
用电量:电力、热力生产和供应业,启用,1,4.3393,15,0.2893,中等相似
用电量:燃气生产和供应业,启用,1,3.6819,14,0.263,中等相似
用电量:水的生产和供应业,启用,1,3.4963,14,0.2497,中等相似
用电量:第一产业,启用,1,4.1972,15,0.2798,中等相似
用电量:第二产业,启用,1,4.0877,14,0.292,中等相似
用电量:工业,启用,1,4.0644,14,0.2903,中等相似
中国:主要45港口:日均疏港量:铁矿石,启用,1,10.9702,56,0.1959,中等相似
中国:生产率:焦炉:国内独立焦化厂(230家),启用,1,10.2774,56,0.1835,中等相似
中国:高炉开工率(247家),启用,1,10.2758,56,0.1835,中等相似
中国:产量:螺纹钢:主要钢厂,启用,1,10.9036,56,0.1947,中等相似
中国:产量:线材:主要钢厂,启用,1,10.7654,56,0.1922,中等相似
中国:产量:中厚板:主要钢厂,启用,1,10.6108,56,0.1895,中等相似
中国:开工率:产能(>200万吨):焦化企业(230家),启用,1,10.6938,56,0.191,中等相似
中国:产能利用率:成品油:独立炼厂,启用,1,11.4597,53,0.2162,中等相似
重点电厂:日耗量:煤炭,启用,1,7.5929,37,0.2052,中等相似
社会库存:PTA:期末值,启用,1,9.0554,39,0.2322,中等相似
港口库存:MEG(乙二醇):华东地区:期末值,启用,1,9.8104,39,0.2515,中等相似
聚酯瓶片:企业开工负荷:当周值,启用,1,7.9894,31,0.2577,中等相似
中国:产量:乙烯,启用,1,5.6349,21,0.2683,中等相似
中国:开工率:乙烯,启用,1,7.469,22,0.3395,中等相似
PVC:开工率:当周值,启用,1,8.5639,39,0.2196,中等相似
工厂库存:PP粉:当周环比,启用,1,10.4929,56,0.1874,中等相似
库存:PP:国内:当周环比,启用,1,10.9004,56,0.1946,中等相似
社会库存:PVC:同比,启用,1,12.0127,56,0.2145,中等相似
规模以上工业发电量:当月同比,启用,1,11.2381,49,0.2293,中等相似
月产量:PTA:中国:环比,启用,1,11.5753,56,0.2067,中等相似
